Temp	Dilation
23.124	4.61E-05
23.095	2.42E-05
23.141	3.17E-05
23.081	3.20E-05
23.121	3.07E-05
23.113	3.73E-05
23.095	3.04E-05
23.107	3.57E-05
23.065	2.98E-05
23.098	5.24E-05
23.149	3.41E-05
23.062	3.26E-05
23.112	3.10E-05
23.106	2.77E-05
23.135	2.87E-05
23.045	2.76E-05
23.08	2.81E-05
23.171	3.27E-05
23.046	2.84E-05
23.075	2.82E-05
23.09	3.01E-05
23.112	4.41E-05
23.038	2.45E-05
23.115	1.76E-05
23.14	2.38E-05
23.255	2.14E-05
23.518	2.53E-05
24.25	3.25E-05
25.24	2.23E-05
26.153	5.67E-05
27.262	9.08E-05
28.358	1.22E-04
29.487	1.69E-04
30.615	2.23E-04
31.803	2.85E-04
32.821	3.58E-04
33.797	3.83E-04
34.915	4.39E-04
36.075	5.14E-04
37.033	5.48E-04
38.044	6.10E-04
39.197	6.88E-04
40.247	7.72E-04
41.288	8.07E-04
42.384	8.86E-04
43.367	9.42E-04
44.413	0.00101
45.501	0.0011
46.497	0.00117
47.558	0.00123
48.633	0.0013
49.663	0.00135
50.678	0.00144
51.746	0.00152
52.824	0.00163
53.728	0.00168
54.802	0.00176
55.824	0.00185
56.818	0.00191
57.82	0.00199
58.899	0.00207
59.921	0.00215
60.974	0.00224
62.015	0.0023
62.961	0.00237
64.004	0.00244
65.063	0.00252
66.009	0.00261
67.034	0.00268
68.075	0.00275
69.141	0.0028
70.04	0.0029
71.184	0.00297
72.106	0.00304
73.082	0.00312
74.146	0.00318
75.167	0.00327
76.09	0.00335
77.167	0.00342
78.193	0.00348
79.138	0.00355
80.191	0.00364
81.227	0.00373
82.11	0.00381
83.176	0.00389
84.231	0.00395
85.159	0.00402
86.197	0.00409
87.231	0.00417
88.239	0.00424
89.337	0.00433
90.286	0.00442
91.108	0.00449
92.207	0.00456
93.328	0.00464
94.332	0.00472
95.332	0.00479
96.26	0.00486
97.263	0.00493
98.297	0.00501
99.287	0.00507
100.22	0.00515
101.23	0.00522
102.27	0.00528
103.28	0.00536
104.28	0.00545
105.28	0.0055
106.24	0.0056
107.33	0.00566
108.3	0.00575
109.19	0.00582
110.24	0.00589
111.21	0.00596
112.26	0.00603
113.28	0.0061
114.36	0.00619
115.46	0.00628
116.4	0.00636
117.4	0.00643
118.36	0.00649
119.42	0.00657
120.48	0.00665
121.38	0.00671
122.42	0.00679
123.39	0.00687
124.32	0.00696
125.36	0.00703
126.45	0.00712
127.38	0.0072
128.52	0.00729
129.49	0.00736
130.43	0.00744
131.44	0.00751
132.49	0.0076
133.33	0.00767
134.38	0.00773
135.51	0.00783
136.51	0.00789
137.44	0.00797
138.47	0.00806
139.35	0.00813
140.42	0.00824
141.47	0.00829
142.43	0.00839
143.54	0.00845
144.49	0.00853
145.51	0.0086
146.39	0.00868
147.45	0.00876
148.44	0.00886
149.47	0.00895
150.58	0.00902
151.43	0.00907
152.5	0.00918
153.54	0.00926
154.45	0.00931
155.47	0.00943
156.58	0.0095
157.54	0.00958
158.56	0.00967
159.48	0.00974
160.57	0.0098
161.52	0.0099
162.53	0.00997
163.55	0.01006
164.53	0.01013
165.44	0.0102
166.54	0.0103
167.51	0.01037
168.48	0.01046
169.58	0.01054
170.54	0.01062
171.43	0.01071
172.55	0.01079
173.61	0.01086
174.55	0.01096
175.53	0.01101
176.6	0.01113
177.56	0.01119
178.5	0.01127
179.65	0.01135
180.53	0.01144
181.49	0.01152
182.59	0.0116
183.51	0.01168
184.58	0.01176
185.6	0.01182
186.6	0.01189
187.52	0.01197
188.59	0.01203
189.63	0.01213
190.52	0.0122
191.58	0.01228
192.6	0.01236
193.48	0.01243
194.53	0.01251
195.58	0.01262
196.54	0.01267
197.55	0.01277
198.55	0.01284
199.44	0.01293
200.47	0.01302
201.55	0.01309
202.51	0.01318
203.52	0.01325
204.64	0.01336
205.62	0.01342
206.54	0.01351
207.66	0.01361
208.75	0.01368
209.62	0.01376
210.54	0.01384
211.57	0.01392
212.64	0.01402
213.57	0.01409
214.54	0.01419
215.6	0.01425
216.56	0.01434
217.53	0.01445
218.49	0.01455
219.55	0.01463
220.53	0.01471
221.51	0.01483
222.5	0.01489
223.56	0.01498
224.51	0.01506
225.54	0.01515
226.49	0.01523
227.58	0.0153
228.44	0.01539
229.49	0.01547
230.51	0.01556
231.53	0.01565
232.39	0.01572
233.44	0.0158
234.55	0.01588
235.52	0.01596
236.48	0.01605
237.49	0.01614
238.57	0.01622
239.52	0.01627
240.52	0.01638
241.63	0.01647
242.6	0.01655
243.59	0.01661
244.48	0.01671
245.63	0.01683
246.58	0.0169
247.57	0.01699
248.53	0.01706
249.6	0.01714
250.56	0.01721
251.6	0.0173
252.49	0.0174
253.52	0.01749
254.53	0.01756
255.62	0.01764
256.51	0.0177
257.51	0.01779
258.56	0.01786
259.58	0.01796
260.57	0.01804
261.54	0.01811
262.53	0.0182
263.57	0.0183
264.57	0.01837
265.5	0.01847
266.53	0.01856
267.58	0.01863
268.55	0.01872
269.52	0.01879
270.5	0.01888
271.6	0.01896
272.58	0.01904
273.55	0.01913
274.56	0.0192
275.56	0.0193
276.57	0.01937
277.54	0.01945
278.41	0.01953
279.56	0.01963
280.6	0.01973
281.6	0.01982
282.49	0.01989
283.47	0.01996
284.51	0.02006
285.55	0.02013
286.67	0.02022
287.66	0.0203
288.69	0.0204
289.6	0.02047
290.61	0.02056
291.68	0.02065
292.65	0.02074
293.67	0.02082
294.74	0.02091
295.61	0.021
296.7	0.02108
297.67	0.02115
298.69	0.02125
299.68	0.02133
300.6	0.0214
301.65	0.02149
302.65	0.02159
303.7	0.02168
304.68	0.02176
305.6	0.02184
306.69	0.02193
307.72	0.02198
308.7	0.02207
309.6	0.02215
310.68	0.02226
311.62	0.02234
312.67	0.02244
313.65	0.02252
314.59	0.02258
315.52	0.02268
316.58	0.02277
317.62	0.02287
318.59	0.02293
319.64	0.02302
320.65	0.02312
321.57	0.02321
322.61	0.02327
323.61	0.02338
324.71	0.02347
325.64	0.02355
326.63	0.02364
327.64	0.02373
328.64	0.02381
329.58	0.0239
330.58	0.02398
331.61	0.02407
332.55	0.02416
333.64	0.02422
334.64	0.02432
335.63	0.0244
336.61	0.0245
337.59	0.02459
338.54	0.02467
339.71	0.02476
340.55	0.02483
341.59	0.02493
342.69	0.02502
343.6	0.0251
344.56	0.0252
345.66	0.02529
346.61	0.02537
347.66	0.02546
348.6	0.02554
349.68	0.02562
350.61	0.02574
351.73	0.02581
352.77	0.02591
353.67	0.02599
354.75	0.0261
355.84	0.02618
356.67	0.02627
357.7	0.02635
358.62	0.02642
359.65	0.02652
360.63	0.02662
361.61	0.0267
362.57	0.02677
363.66	0.02686
364.59	0.02695
365.6	0.02704
366.66	0.02714
367.57	0.02722
368.57	0.0273
369.68	0.0274
370.65	0.02748
371.63	0.02757
372.67	0.02767
373.58	0.02773
374.44	0.02783
375.66	0.02793
376.66	0.02802
377.63	0.02813
378.57	0.02821
379.59	0.02827
380.56	0.02838
381.64	0.02846
382.64	0.02854
383.59	0.02864
384.56	0.02873
385.64	0.02882
386.66	0.0289
387.57	0.029
388.66	0.02908
389.7	0.02918
390.6	0.02924
391.58	0.02933
392.63	0.02941
393.63	0.02951
394.53	0.02962
395.59	0.02969
396.63	0.02979
397.58	0.02988
398.55	0.02995
399.62	0.03005
400.54	0.03014
401.52	0.03023
402.59	0.03032
403.67	0.03041
404.62	0.03048
405.64	0.03059
406.68	0.03068
407.66	0.03077
408.58	0.03086
409.68	0.03092
410.6	0.03102
411.61	0.03111
412.59	0.03121
413.69	0.03129
414.7	0.03135
415.63	0.03145
416.61	0.03153
417.65	0.03161
418.55	0.03168
419.56	0.03177
420.57	0.03187
421.58	0.03196
422.51	0.03204
423.59	0.03213
424.51	0.03221
425.6	0.0323
426.47	0.03239
427.55	0.03248
428.64	0.03259
429.56	0.03268
